UMIPWJGWASORKV-UHFFFAOYSA-N,0.060948227,-0.05340672,,2.884
WEEGYLXZBRQIMU-WAAGHKOSSA-N,0.014118021,-0.09519014,,6.128
VLVCDUSVTXIWGW-UHFFFAOYSA-N,0.048224002,-0.09549616,,3.835
JWUJQDFVADABEY-RXMQYKEDSA-N,0.028463202,-0.09223657,,6.039
NKDDWNXOKDWJAK-UHFFFAOYSA-N,0.053252716,-0.08423504,,4.351
OZNXTQSXSHODFR-CHIWXEEVSA-N,0.019952083,-0.07083715,,2.662
CTQNGGLPUBDAKN-UHFFFAOYSA-N,0.02071153,-0.06398562,,2.287
YEEMHJNIVXNCSN-ALCCZGGFSA-N,0.055802308,-0.08893699,,8.039
JHIVVAPYMSGYDF-UHFFFAOYSA-N,0.02679605,-0.09454967,,6.15
RAXXELZNTBOGNW-UHFFFAOYSA-N,0.091351815,-0.094065964,,8.55
CYFPVACSJLXVCA-UHFFFAOYSA-N,0.07267229,-0.11400986,,7.921
UIHCLUNTQKBZGK-YFKPBYRVSA-N,0.033519275,-0.09318215,,5.772
JJYPMNFTHPTTDI-UHFFFAOYSA-N,0.038666792,-0.06388214,,4.688
CTSZPNIMMLSKDV-UHFFFAOYSA-N,0.026879199,-0.073059104,,8.816
MTZQAGJQAFMTAQ-UHFFFAOYSA-N,0.040153865,-0.11873311,,5.15
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,0.03908148,-0.060667638,,4.508
KGIGUEBEKRSTEW-UHFFFAOYSA-N,0.037616383,-0.073874705,,6.728
MBTGBRYMJKYYOE-UHFFFAOYSA-N,0.072042674,-0.07746731,,3.373
IMRWILPUOVGIMU-UHFFFAOYSA-N,0.05195517,-0.07149257,,5.35
CHSPMZWZNFDUDE-UHFFFAOYSA-N,0.120129794,-0.23524836,,9.505
YTPLMLYBLZKORZ-UHFFFAOYSA-N,0.06308732,-0.07510838,,2.242
GUVUOGQBMYCBQP-UHFFFAOYSA-N,0.04942302,-0.13190073,,9.261
JLNGEXDJAQASHD-UHFFFAOYSA-N,0.04035356,-0.12409868,,7.832
ZQWPRMPSCMSAJU-UHFFFAOYSA-N,0.045895644,-0.1141443,,5.417
UWKQJZCTQGMHKD-UHFFFAOYSA-N,0.028161902,-0.08515975,,1.862
HHAISVSEJFEWBZ-UHFFFAOYSA-N,0.07077926,-0.07513585,,4.795
ROSDSFDQCJNGOL-UHFFFAOYSA-N,0.021136595,-0.065366186,,8.083
JKOVQYWMFZTKMX-ONEGZZNKSA-N,0.08858061,-0.14433886,,6.328
NMRHCNYNTKGDGB-UHFFFAOYSA-N,0.0639454,-0.17951918,,6.083
UMURLIQHQSKULR-UHFFFAOYSA-N,0.078647465,-0.0805684,,6.128
XTGOWLIKIQLYRG-UHFFFAOYSA-N,0.12117927,-0.033437833,,1.973
JXQGICFGPUAVLJ-UHFFFAOYSA-N,0.08014697,-0.11059166,,7.241
WDFQBORIUYODSI-UHFFFAOYSA-N,0.05188287,-0.05297967,,4.077
HWWYDZCSSYKIAD-UHFFFAOYSA-N,0.03698636,-0.069211416,,7.972
HONIICLYMWZJFZ-UHFFFAOYSA-N,0.020382896,-0.069056116,,8.816
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,0.19238363,-0.2272117,,8.599
JAMNHZBIQDNHMM-UHFFFAOYSA-N,0.03448415,-0.056254335,,5.261
PMRYVIKBURPHAH-UHFFFAOYSA-N,0.07933651,-0.08722077,,8.15
ZWXPDGCFMMFNRW-UHFFFAOYSA-N,0.04388672,-0.12455338,,8.683
AKQWEDMTPCAESO-UHFFFAOYSA-N,0.05294692,-0.09375984,,6.639
CDNHLXOFELOEOL-UHFFFAOYSA-N,0.078753605,-0.07789113,,6.461
SXVPOSFURRDKBO-UHFFFAOYSA-N,0.035628587,-0.09394424,,5.795
UQFQONCQIQEYPJ-UHFFFAOYSA-N,0.06755306,-0.108498216,,7.148
QZVQQUVWFIZUBQ-UHFFFAOYSA-N,0.05475516,-0.070243776,,3.742
XRGPFNGLRSIPSA-UHFFFAOYSA-N,0.08791377,-0.09360323,,4.573
OKDGRDCXVWSXDC-UHFFFAOYSA-N,0.058234476,-0.07187803,,5.395
WJYIASZWHGOTOU-UHFFFAOYSA-N,0.02023552,-0.05146594,,7.725
RVAQSYWDOSHWGP-UHFFFAOYSA-N,0.08610342,-0.15752068,,7.268
KMSNYNIWEORQDJ-UHFFFAOYSA-N,0.026766082,-0.08926055,,5.15
XULIXFLCVXWHRF-UHFFFAOYSA-N,0.016262077,-0.07617496,,5.839
GNOIPBMMFNIUFM-UHFFFAOYSA-N,0.042974662,-0.18754418,,10.91
ILBIXZPOMJFOJP-UHFFFAOYSA-N,0.062143147,-0.09713679,,6.617
FFCSRWGYGMRBGD-UHFFFAOYSA-N,0.042840265,-0.094238594,,3.6
LIWAQLJGPBVORC-UHFFFAOYSA-N,0.020394446,-0.065031596,,8.061
BSKHPKMHTQYZBB-UHFFFAOYSA-N,0.036914993,-0.07480573,,7.57
WEHWNAOGRSTTBQ-UHFFFAOYSA-N,0.016325574,-0.06680078,,7.931
GNKZMNRKLCTJAY-UHFFFAOYSA-N,0.041367874,-0.09839739,,5.817
OUMGIYIBWRLOAF-UHFFFAOYSA-N,0.046455346,-0.08317636,,6.172
UWHSPZZUAYSGTB-UHFFFAOYSA-N,0.04409374,-0.12412877,,8.461
WVDDGKGOMKODPV-UHFFFAOYSA-N,0.056613605,-0.08657788,,4.94
SVEUVITYHIHZQE-UHFFFAOYSA-N,0.04832068,-0.08309594,,7.75
HKTSLDUAGCAISP-UHFFFAOYSA-N,0.03805715,-0.13710238,,6.283
SQNZJJAZBFDUTD-UHFFFAOYSA-N,0.016197573,-0.06989831,,2.711
VHFUHRXYRYWELT-UHFFFAOYSA-N,0.075696275,-0.075299785,,3.306
RDHPKYGYEGBMSE-UHFFFAOYSA-N,0.038656235,-0.04334753,,2.173
FGWQRDGADJMULT-UHFFFAOYSA-N,0.039961886,-0.07081735,,9.016
TVDSBUOJIPERQY-UHFFFAOYSA-N,0.06968628,-0.06679325,,3.708
JPMQWSJHCDLANT-UHFFFAOYSA-N,0.031993806,-0.12933457,,7.683
SJMLNDPIJZBEKY-UHFFFAOYSA-N,0.062694,-0.07765741,,3.395
JACMPVXHEARCBO-UHFFFAOYSA-N,0.01635791,-0.06590895,,7.931
VEFLKXRACNJHOV-UHFFFAOYSA-N,0.04746674,-0.036578767,,1.884
ZVWHURINXJWEER-UHFFFAOYSA-N,0.02988385,-0.13531315,,6.93
MHZGKXUYDGKKIU-UHFFFAOYSA-N,0.020171423,-0.051333673,,7.828
